Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Patient-patient-2.json	196	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-3.json	198	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-antimicrobial-not-pregnant-pd.json	45167	6	0	0	0	0	0	0	1	38	0	0	0	0	0	0	0	0	0	0	197	31	0	0	0	3	0	0
fsh-generated/resources/PlanDefinition-antimicrobial-pregnant-pd.json	46285	5	0	0	0	0	0	0	1	43	0	0	0	0	0	0	0	0	0	0	198	31	0	0	0	2	0	0
fsh-generated/resources/PlanDefinition-first-vaccine-dose-antimicrobial-not-pregnant-pd.json	52574	6	0	0	0	0	0	0	2	28	0	0	0	0	0	0	0	1	0	0	228	35	0	0	0	3	0	0
fsh-generated/resources/PlanDefinition-first-vaccine-dose-antimicrobial-pregnant-pd.json	53958	6	0	0	0	0	0	0	2	33	0	0	0	0	0	0	0	0	0	0	234	34	0	0	0	4	0	0
fsh-generated/resources/PlanDefinition-first-vaccine-dose-not-pregnant-pd.json	52532	6	0	0	0	0	0	0	1	23	0	0	0	0	0	0	0	0	0	0	218	33	0	0	0	4	0	0
fsh-generated/resources/PlanDefinition-first-vaccine-dose-pregnant-pd.json	53916	6	0	0	0	0	0	0	2	30	0	0	0	0	0	0	0	0	0	0	227	34	0	0	0	3	0	1
fsh-generated/resources/PlanDefinition-second-vaccinedose-antimicrobial-notpregnant-pd.json	52656	6	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	1	0	0	233	34	0	0	0	4	0	0
fsh-generated/resources/PlanDefinition-second-vaccinedose-antimicrobial-pregnant-pd.json	53960	7	1	0	0	0	0	0	2	73	0	0	0	0	0	0	0	0	0	0	251	81	0	0	0	3	0	0
fsh-generated/resources/PlanDefinition-second-vaccinedose-notpregnant-pd.json	52613	6	0	0	0	0	0	0	2	19	0	0	0	0	0	0	0	0	0	0	225	32	0	0	0	4	0	0
fsh-generated/resources/PlanDefinition-second-vaccinedose-pregnant-pd.json	53919	7	0	0	0	0	0	0	1	23	0	0	0	0	0	0	0	1	0	0	226	33	0	0	0	3	0	0
